Value,Description,Recommended,Reference
0x0201,rsa_pkcs1_sha1,N,[RFC8446][RFC9155]
0x0203,ecdsa_sha1,N,[RFC8446][RFC9155]
0x0401,rsa_pkcs1_sha256,Y,[RFC8446]
0x0403,ecdsa_secp256r1_sha256,Y,[RFC8446]
0x0420,rsa_pkcs1_sha256_legacy,N,[draft-davidben-tls13-pkcs1-00]
0x0501,rsa_pkcs1_sha384,Y,[RFC8446]
0x0503,ecdsa_secp384r1_sha384,Y,[RFC8446]
0x0520,rsa_pkcs1_sha384_legacy,N,[draft-davidben-tls13-pkcs1-00]
0x0601,rsa_pkcs1_sha512,Y,[RFC8446]
0x0603,ecdsa_secp521r1_sha512,Y,[RFC8446]
0x0620,rsa_pkcs1_sha512_legacy,N,[draft-davidben-tls13-pkcs1-00]
0x0704,eccsi_sha256,N,[draft-wang-tls-raw-public-key-with-ibc]
0x0705,iso_ibs1,N,[draft-wang-tls-raw-public-key-with-ibc]
0x0706,iso_ibs2,N,[draft-wang-tls-raw-public-key-with-ibc]
0x0707,iso_chinese_ibs,N,[draft-wang-tls-raw-public-key-with-ibc]
0x0708,sm2sig_sm3,N,[RFC8998]
0x0709,gostr34102012_256a,N,[draft-smyshlyaev-tls13-gost-suites]
0x070A,gostr34102012_256b,N,[draft-smyshlyaev-tls13-gost-suites]
0x070B,gostr34102012_256c,N,[draft-smyshlyaev-tls13-gost-suites]
0x070C,gostr34102012_256d,N,[draft-smyshlyaev-tls13-gost-suites]
0x070D,gostr34102012_512a,N,[draft-smyshlyaev-tls13-gost-suites]
0x070E,gostr34102012_512b,N,[draft-smyshlyaev-tls13-gost-suites]
0x070F,gostr34102012_512c,N,[draft-smyshlyaev-tls13-gost-suites]
0x0804,rsa_pss_rsae_sha256,Y,[RFC8446]
0x0805,rsa_pss_rsae_sha384,Y,[RFC8446]
0x0806,rsa_pss_rsae_sha512,Y,[RFC8446]
0x0807,ed25519,Y,[RFC8446]
0x0808,ed448,Y,[RFC8446]
0x0809,rsa_pss_pss_sha256,Y,[RFC8446]
0x080A,rsa_pss_pss_sha384,Y,[RFC8446]
0x080B,rsa_pss_pss_sha512,Y,[RFC8446]
0x081A,ecdsa_brainpoolP256r1tls13_sha256,N,[RFC8734]
0x081B,ecdsa_brainpoolP384r1tls13_sha384,N,[RFC8734]
0x081C,ecdsa_brainpoolP512r1tls13_sha512,N,[RFC8734]
